feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3,val_imp_4
f34,0.012172318523582203,0.00036544786031534606,0.012094309133780845,0.012875897518308088,0.011945208609820068,0.012106669834342387,0.011839507521659631
f55,0.009872318954271675,0.00047053569383659653,0.010772845259727992,0.009801131532831686,0.009393257636877261,0.00970603983851659,0.009688320503404846
f8,0.008544791762342486,0.0006558981892173734,0.00950031343079516,0.007652417285928137,0.008617242947237091,0.008014815295145916,0.008939169852606121
f91,0.008253330878847965,0.0002442336197326337,0.008606201845244854,0.007910963386579373,0.008115234975216934,0.008438177689875204,0.008196076497323457
f43,0.0080995605277993,0.0003528160826540979,0.007980079254327421,0.007942650838013932,0.008554490596415332,0.007585673475459465,0.008434908474780345
f71,0.00778509189031551,0.00022469767491607352,0.007743719437585783,0.0079921942211163,0.007461615192259741,0.007650935998916308,0.008076994601699417
f80,0.007394381986051446,0.0001394518135818595,0.007611531043894115,0.0072095480639773335,0.007286192086354615,0.007458138016199545,0.007406500719831621
f27,0.006338611446063491,0.00018037838278026042,0.0062615717942703375,0.006424686896753462,0.006498371621598387,0.006488273664278954,0.006020153253416316
f50,0.004516960446475382,0.000128630344034878,0.00454076732378883,0.004336372443851544,0.0045751887416001225,0.004422530270884906,0.004709943452251508
f41,0.004425807356030309,0.00017069132566270784,0.004302781986003201,0.004338644961410121,0.00452275477602293,0.004250981391530684,0.004713873665184609
f97,0.0041195480354415896,0.00017564001959907813,0.0039006893110471452,0.004180971692414381,0.004176261832663286,0.00438703332783974,0.003952784013243393
f22,0.003238356323577163,0.00032423870753438283,0.003216050462911846,0.0031264749277926107,0.0038200864090671693,0.003207044664458425,0.0028221251536557634
f25,0.003203402979079484,9.49353239359482e-05,0.003292997256119312,0.003113433788521691,0.003340211209489574,0.0031137565278303025,0.003156616113436539
f66,0.0031839787677971467,0.00023018520578298299,0.00334060660329194,0.0032032632405351036,0.003412933295147469,0.0027517158238405948,0.003211374876170625
f57,0.003135258595043755,0.00010569379187222046,0.003315602861370892,0.003095174193282535,0.0031710140831149314,0.0029974718195427963,0.0030970300179076204
f96,0.002630800568623548,0.0001591310417912055,0.00251968708237027,0.00286814107694755,0.0024026738696036887,0.0026629999977418883,0.002700500816454343
f82,0.002152387190429894,9.575278301468883e-05,0.002147976454222822,0.0019867143045020352,0.0022374480241798,0.0021335543312683836,0.00225624283797643
f81,0.0020517885861147224,0.00018948220212616564,0.0021084774874713386,0.0022025065155244494,0.0017575572672930972,0.002273030360861794,0.001917371299422932
f21,0.0017897095896930448,0.00019431147946344916,0.001698134133320206,0.0016650902840220638,0.0015708603906804397,0.001901538325956853,0.0021129248144856616
f26,0.0016010212489486087,8.812563748235861e-05,0.0016374214362842032,0.0015786898887599765,0.0016666550769344202,0.001682666671603661,0.0014396731711607824
f40,0.0013313490166296793,0.00013314099602057452,0.001171330016965122,0.0015223620128337334,0.0012332820632303676,0.0012792290270776663,0.0014505419630415073
f24,0.0012766607537968654,6.877047653762436e-05,0.0011836368587386792,0.0013364470179876298,0.0013570271220938457,0.0012092230578816254,0.0012969697122825474
f54,0.0012702958453982172,0.00010318081814938629,0.00117435935920851,0.001307477419765224,0.0011307138357284918,0.0014112567855998348,0.0013276718266890253
f17,0.0012463126127158386,0.00015808216953664686,0.0014649872974155098,0.0012558351527808265,0.0010138828895128738,0.0011411720862060104,0.0013556856376639725
f3,0.0010761361150545268,0.00010921388105098754,0.0010428143951421998,0.0011106287817608251,0.0009500620849284269,0.001268285819412851,0.001008889494028331
f60,0.0010467751597784236,0.00015587951970350665,0.0010921323313461961,0.0011999498343692183,0.0008466362607636446,0.0012147843965726324,0.0008803729758404266
f98,0.0010417099376139217,0.00011688012769231703,0.0011278201721900416,0.0009888248965723712,0.0008870694292431036,0.0009866408810206284,0.0012181943090434633
f5,0.0009004829418011395,9.974173156747372e-05,0.0007217271763462207,0.001010649677365194,0.0009584763666657947,0.0008723714565209706,0.0009391900321075175
f95,0.0007929394696380987,2.8007494467065083e-05,0.0008008831890620183,0.0007555117974240577,0.0008205108160703745,0.0008230175621708469,0.0007647739834631961
f1,0.0006654787647013994,8.699034479878736e-05,0.0006432771026105844,0.0007198616087700227,0.0005051663835717868,0.0007140955573494701,0.0007449931712051328
f47,0.000661350503457081,6.376522553629846e-05,0.0007615742507490753,0.0005886751153290071,0.0005971906448473119,0.0006692442414868438,0.0006900682648731671
